price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,review_scores_value,license,instant_bookable,distance_min,amenity_parking,amenity_luxurious,amenity_workspace,amenity_dryer,amenity_washer,amenity_outdoor,amenity_security,amenity_balcony_view,amenity_entertainment,amenity_family,amenity_fitness,amenity_pet_friendly,amenity_accessibility,amenities_count,is_entire_home
44.0,40.8666,-73.90061,2,1.0,2.0,2.0,4.76,False,False,10.701508559552844,True,False,False,True,False,False,True,False,False,False,False,False,False,27,False
120.0,40.86909,-73.9239,2,1.0,1.0,1.0,4.65,False,False,10.051481244254456,True,True,True,True,False,False,True,False,True,True,False,True,False,44,True
283.0,40.80752,-73.94778,9,1.0,2.0,8.0,4.5,False,False,3.0328844514825333,True,True,True,True,True,False,False,True,False,True,False,True,False,43,True
65.0,40.77298,-73.95813,1,1.0,1.0,1.0,4.88,False,False,0.8315463736645963,False,True,True,True,True,False,False,False,False,False,False,False,True,13,False
350.0,40.80557,-73.94801,9,1.0,2.0,4.0,4.0,False,False,2.846020959969275,True,True,True,True,True,False,True,False,False,True,False,True,False,49,True
64.0,40.82295,-73.94433,1,1.0,1.0,1.0,4.14,False,False,4.664955790335868,False,False,False,False,False,False,False,False,False,False,False,False,True,10,False
252.0,40.72371,-73.99663,3,1.0,1.0,2.0,4.72,False,False,1.9556954204340644,False,True,True,True,True,False,True,False,False,False,False,False,False,39,True
120.0,40.79903,-73.96297,2,1.0,1.0,1.0,4.58,False,False,1.611612508557828,True,False,False,True,True,False,False,False,False,False,False,False,False,25,True
314.0,40.71116,-73.94721,5,1.0,2.0,3.0,4.82,False,False,4.236462996152257,True,True,True,True,True,False,True,True,False,True,False,False,False,43,True
130.0,40.69533,-73.96058,2,1.0,1.0,1.0,4.82,True,False,3.294336113569773,True,True,True,True,True,True,False,True,False,True,False,False,True,46,False
89.0,40.73216,-73.98678,2,1.0,1.0,1.0,4.7,False,False,1.853263091601804,True,True,True,True,False,False,False,False,False,False,False,False,False,24,False
87.0,40.80272,-73.95316,1,1.0,1.0,1.0,4.97,False,False,2.3371005042037987,False,False,False,True,True,False,False,False,False,False,False,False,True,24,False
238.0,40.71923,-73.9582,5,1.0,1.0,4.0,4.71,False,False,3.5804618707460327,True,False,False,True,True,False,True,False,False,True,False,True,True,25,True
179.0,40.77534,-73.95106,2,1.0,1.0,1.0,4.7,False,False,1.1196217934457005,True,True,True,True,False,False,False,False,False,True,False,False,False,30,True
200.0,40.68928,-73.93908,3,1.0,2.0,2.0,4.82,False,False,5.23164775834625,True,False,False,True,False,False,True,False,False,False,False,False,False,28,True
125.0,40.72617,-73.95264,2,1.0,2.0,3.0,4.67,False,False,3.741014572515368,False,True,True,False,False,False,True,False,False,False,False,False,False,29,True
108.0,40.76269,-73.99361,1,1.0,1.0,1.0,4.71,False,False,0.8603535374056155,True,False,False,True,False,False,True,False,False,False,False,False,False,19,False
46.0,40.86646,-73.82194,2,1.5,1.0,1.0,4.76,False,False,15.298779971249502,False,False,False,True,True,False,False,True,False,False,False,False,True,17,False
135.0,40.81319,-73.94194,2,1.0,1.0,1.0,4.7,False,False,3.8314139744426208,True,False,False,True,True,True,True,True,False,True,False,False,False,33,False
59.0,40.8239,-73.94242,2,1.5,1.0,1.0,4.72,False,False,4.830892935716459,True,True,True,True,True,False,True,False,False,False,False,True,True,59,False
418.0,40.68687,-73.97074,2,2.0,2.0,2.0,4.86,False,False,3.0739013522242877,True,True,True,True,True,True,False,True,True,True,False,False,False,33,False
145.0,40.74709,-73.92056,1,1.0,1.0,1.0,5.0,False,False,5.076297717159901,True,True,False,False,False,True,True,True,False,False,False,False,False,31,True
73.0,40.68476,-73.94867,2,1.0,1.0,1.0,4.6,False,False,4.715222454733374,True,True,True,True,False,False,True,False,False,False,False,False,False,24,False
167.0,40.67534,-73.98345,2,1.0,2.0,2.0,4.1,False,False,3.6000620651532147,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True
